"","Country.Name","Fiscal.Freedom","Business.Freedom","Labor.Freedom","Monetary.Freedom","Trade.Freedom","Investment.Freedom","Financial.Freedom","Population..Millions.","GDP..Billions..PPP.","FDI.Inflow..Millions.","Conflicts","Security...Safety","Domestic.Movement","Foreign.Movement","Religion","Establishing.and.Operating.Political.Parties","Operating.Educational","Political.Pressures.and.Controls.on.Media.Content","Parental.Authority..In.Marriage","Transfers.and.subsidies","Government.enterprises.and.investment","Protection.of.property.rights","Money.growth","Labor.market.regulations","Hiring.and.firing.regulations","Starting.a..business","Business.regulations","Laws.and.Regulations.that.Influence.Media.Content","Women.s.Security...Safety","Criminal.Justice","Unemployment...."
"16","Benin","68,1","51,3","53,8","82,2","58,8","75","50","10,6","$19,8 ","377,4","0","0","0","0","0","7","10","9","10","10","9","5","0","8","1","45","46","6","10",NA,"1"
"17","Bhutan","83,1","65,2","77,6","66,9","60","20","30","0,8","$5,9 ","5,8","0","0","0","0","0","7","0","1",NA,"0","0","7","0","5","8","6","6","5","10",NA,"2,8"
"18","Bolivia","86,4","58,8","31,7","65,0","76,6","15","40","11,2","$70,0 ","647,8","10","0","0","10","10","0","4","5","4","0",NA,"0","10","8","20","62","13","7","0","7","2,7"
"19","Bosnia and Herzegovina","83,9","54,6","59,4","84,3","87","65","60","3,9","$38,1 ","564,0","10","0","0","10","10","0","9","0","5","0",NA,"0","10","6","21","32","10","10","0","3","27,9"
"20","Botswana","79,1","66,4","68,5","76,3","84","65","70","2,1","$33,7 ","393,2","10","0","0","10","7","0","2","9",NA,"10","0",NA,"5","0","9","9","5",NA,"0","3","18,2"
"21","Brazil","69,7","61,4","52,5","64,2","69,4","55","50","202,8","$3.263,8 ","62.494,8","10","0","0","10","10","0","1","0","4","5",NA,"0","10","0","24","30","28","5","0","0","6,8"
"22","Brunei Darussalam","87,0","71,3","90,2","76,8","85,2","65","50","0,4","$30,2 ","567,9","0","0","0","10","0","6","7","0",NA,"0","10","2","0","0","10","5","5","0","0",NA,"3,8"
"23","Bulgaria","91,1","66,9","71,6","82,6","88","65","60","7,2","$128,6 ","1.710,3","10","0","0","10","10","0","8","5","1","0",NA,"0","10","7","20","15","10","7","0","0","11,6"
"24","Burkina Faso","82,8","46,3","58,9","84,9","68,2","65","40","17,4","$29,3 ","341,9","10","2","1","9","10","0","3","5","0","5",NA,"0","7","2","4","1","0","7","3","1","3,1"
"25","Burundi","73,8","54,2","67,6","73,8","74,2","55","30","9,2","$8,4 ","32,0","0","0","20","2","0","6","0","8","0","2","1","1","0","2","0","30","38","3","6",NA,"6,9"
"26","Cambodia","90,5","32,3","62,5","78,1","72,2","60","50","15,3","$50,0 ","1.730,4","10","0","0","10","10","0","6","0","3","0",NA,"0","10","2","4","6","0","10","0","0","0,4"
"27","Cameroon","75,6","46,9","48,9","81,2","61,6","40","50","22,5","$67,2 ","501,2","6","10","5","7","7","0","8","5","9","0",NA,"6","7","7","9","5","0","7","5","6","4,3"
"28","Canada","80,0","81,8","72,6","76,9","87","80","80","35,5","$1.591,6 ","53.864,0","10","0","0","9","10","0","8","0","0","0",NA,"0","10","9","26","16","39-50","10","0","6","6,9"
"29","Chad","46,0","30,9","48,9","71,4","49,8","50","40","11,3","$29,5 ","760,5","0","1","4","7","0","5","10","7","5","7","6","2","0","4","0","60","60","2","9",NA,"7"
"30","Chile","74,8","72,1","64,3","82,9","86,4","85","70","17,8","$409,3 ","22.949,2","10","0","0","10","10","0","0","0","3","0",NA,"0","10","2","17","10","40","10","0","7","6,4"
"31","China","69,7","54,2","62,0","70,6","72,8","30","30","1367,8","$17.617,3 ","128.500,0","10","0","0","10","2","0","5","0","7","0",NA,"7","2","8","26","46","45","0","0","0","4,7"
"32","Colombia","80,1","78,2","77,6","79,6","81","80","70","47,7","$640,1 ","16.053,8","9","0","8","9","10","0","5","0","7","0",NA,"0","10","4","22","14","33","10","7","0","10,1"
"33","Costa Rica","79,4","68,6","53,8","77,6","81,6","70","50","4,8","$71,0 ","2.105,9","10","0","0","10","10","0","4","0","1","5",NA,"0","10","0","21",NA,"0","10","0","1","8,3"
"34","Croatia","70,8","60,3","42,4","78,7","87,4","75","60","4,2","$88,5 ","3.451,2","10","0","0","10","10","0","9","5","1","5",NA,"0","10","4","24","16","40-47","7","0","3","16,7"
"35","Cyprus","76,1","74,5","58,2","85,3","88","75","50","0,9","$27,4 ","679,0","0","0","0","0","0","10","10","5","10","7","8","8","0",NA,"2","35","37","6","10",NA,"15,6"
"36","Denmark","39,5","95,4","86,0","84,4","88","90","80","5,6","$249,5 ","3.651,9","10","0","2","9","10","0","9","0","7","5",NA,"0","10","6","34","18","52","10","9","3","6,6"
"37","Ecuador","79,2","55,5","51,6","68,1","71,4","30","40","16,0","$180,2 ","773,9","10","0","1","9","10","0","0","0","8","5",NA,"0","10","0","19","46","36","5","0","4","4,6"
"38","Egypt","85,6","68,3","51,4","65,8","70,6","55","40","86,7","$943,1 ","4.783,2","9","6","3","8","7","0","8","5","7","5",NA,"4","10","2","1","0","0","2","9","9","13,2"
"39","El Salvador","79,1","56","52,6","83,4","85,8","75","60","6,4","$50,9 ","275,0","10","0","0","10","10","0","5","0","1","5",NA,"0","10","4","12","15","30","10","0","1","6,2"
"40","Estonia","81,9","79","57,2","82,2","88","90","80","1,3","$35,6 ","982,9","10","0","0","10","10","0","6","5","3","0",NA,"0","10","0","28","21","20","7","0","8","7,7"
"41","Ethiopia","77,2","55,8","57,7","66,0","65","20","20","91,0","$144,6 ","1.200,0","9","2","7","9","10","0","7","5","6","5",NA,"4","7","4","2","2","0","2","1","6","5,2"
"42","Fiji","81,2","62","70,6","77,6","68,8","50","50","0,9","$7,3 ","278,9","0","0","0","10","5","5","0","9",NA,"10","0","7","0","6","0","4","9","4","0",NA,"7,9"
"43","Finland","66,5","90,7","53,7","81,9","88","85","80","5,5","$221,0 ","18.624,7","10","0","0","10","10","0","8","0","9","0",NA,"0","10","3","30","18","48-54","10","0","5","8,6"
"44","France","47,7","78,4","43,5","79,1","83","70","70","63,9","$2.580,8 ","15.191,1","10","1","4","8","10","0","7","5","3","0",NA,"0","10","3","29","15","50","7","5","8","9,9"
"45","Gabon","77,6","58,4","61,9","78,4","61,8","60","40","1,6","$36,3 ","972,9","0","0","0","0","0","8","0","9","2","7","4","2","5","6","1","40","53","9","10",NA,"19,7"
"46","Gambia","75,5","53,4","65,8","64,7","65","65","50","1,9","$3,1 ","28,4","0","10","0","0","0","0","0","6",NA,"0","0",NA,"0","8","0","5","1","7","0",NA,"7"
"47","Georgia","87,6","86,5","75,7","80,5","88,6","80","60","4,5","$34,2 ","1.279,1","10","0","3","9","7","0","7","5","2","5",NA,"0","10","9","22","16","20","7","9","6","13,4"
"48","Germany","61,5","90","50,6","83,3","88","90","70","81,1","$3.721,6 ","1.830,9","10","0","3","9","10","0","8","0","7","0",NA,"0","10","0","26","10","47","10","9","6","5,0"
"49","Ghana","84,9","61,5","56,5","66,5","65","60","60","26,2","$108,3 ","3.357,0","10","0","0","10","10","0","0","5","1","5",NA,"0","7","6","5","2","0","7","0","8","2,4"
"50","Greece","64,4","73,8","50,2","77,7","83","60","40","11,0","$284,3 ","2.171,6","10","6","1","10","10","0","9","0","3","0",NA,"0","10","0","22","27","55","10","0","4","26,3"
"51","Guatemala","79,1","62,5","50,9","77,9","86,4","65","50","15,9","$119,1 ","1.395,8","10","0","0","10","10","0","3","0","5","5",NA,"0","10","9","10","10","7","10","0","4","2,9"
"52","Guinea","68,5","51,4","71,8","69,2","61,2","45","40","11,4","$15,0 ","566,0","0","0","0","0","0","5","5","6","7","10","9","3","5","0","6","3","4","1","10",NA,"1,8"
"53","Guinea-Bissau","89,3","36,7","61,1","78,5","59,4","30","30","1,7","$2,5 ","21,5","0","0","0","0","0","5","10","8",NA,"0","0","7","10","7","45","2","4","9","10",NA,"6,9"
"54","Guyana","68,7","63","70,7","77,4","70,8","40","30","0,8","$5,5 ","255,2","10","0","0","10","10","0","0","7",NA,"0","0","8","0","1","5","6","4","8","0","9","11,1"
"55","Haiti","80,5","47,1","62,0","76,0","72","40","30","10,5","$18,3 ","99,0","0","0","0","0","0","8","10","6","10","10","10","4","0","21","9","0",NA,"9","10",NA,"6,8"
"56","Honduras","84,2","58","31,0","74,8","78,4","60","60","8,3","$39,1 ","1.144,1","10","0","2","10","10","0","9","0","7","0",NA,"0","10","4","15","15","27","10","9","1","3,9"
"57","Hungary","78,7","70,6","63,8","88,3","88","75","70","9,9","$246,4 ","4.039,4","10","0","0","10","10","0","6","5","3","0",NA,"0","10","8","28","30","15","7","0","6","7,8"
"58","Iceland","73,3","90,1","61,6","79,5","87,8","70","60","0,3","$14,2 ","436,1","0","0","0","0","0","10","10","4","10","10","10","8","0","15","0","0","0","6","10",NA,"5,0"
"59","India","77,1","47,6","47,8","72,8","71","35","40","1259,7","$7.375,9 ","34.416,8","9","0","3","9","5","0","4","0","5","0",NA,"0","7","3","16","24","35","5","9","5","3,6"
"60","Indonesia","83,4","54","49,3","74,3","80,4","40","60","251,5","$2.676,1 ","22.579,6","10","0","1","10","7","0","9","5","9","5",NA,"0","10","7","14",NA,"0","2","0","2","6,2"
"61","Iran","81,2","59,3","49,0","50,6","54,6","0","10","78,0","$1.334,3 ","2.105,5","9","0","1","10","7","0","1","5","3","5",NA,"0","5","9","21","31","20","2","0","4","12,8"
"62","Iraq",NA,"63,2","68,5","75,0",NA,NA,NA,"35,9","$522,7 ","4.781,8","4","0","384","0","0","5","0","3","7","2","4","2","5","3","7","15","28","2","0",NA,"16,4"
"63","Ireland","73,6","79,6","72,1","85,5","88","90","70","4,6","$226,8 ","7.697,7","0","9","0","6","0","10","10","8","10","5","7","8","0","5","0","0","0","6","9",NA,"11,6"
"64","Israel","60,6","70,6","64,6","84,2","88,2","85","70","8,2","$268,5 ","6.431,6","0","9","20","5","0","10","0","3","10","10","10","7","0","9","12","50","50","5","5",NA,"6,1"
"65","Italy","55,8","70,3","53,0","84,5","88","85","60","60,0","$2.127,7 ","11.450,8","10","0","0","10","10","0","9","0","0","5",NA,"0","10","5","23","12","47-49","10","0","5","12,5"
"66","Jamaica","81,7","81,3","72,7","77,5","75,4","80","50","2,8","$24,1 ","550,8","10","0","0","10","10","0","5","0","3","5",NA,"0","10","5","15","21","25","10","0","8","13,2"
"67","Japan","68,5","82,5","83,9","81,2","82,6","70","60","127,1","$4.750,8 ","2.089,8","10","0","1","10","7","0","7","0","1","0",NA,"0","10","3","26","21","56","5","0","7","3,7"
"68","Jordan","91,7","64,9","68,4","83,1","73,4","70","60","6,7","$79,6 ","1.760,4","8","3","7","8","7","0","0","5","3","5",NA,"0","7","8","0","5","0","7","8","2","11,1"
"69","Kazakhstan","93,0","72,3","82,7","74,0","77,4","40","50","17,4","$418,5 ","9.562,0","10","0","6","9","10","0","0","5","5","5",NA,"3","7","8","17","27","10","2","8","9","4,1"
"70","Kenya","79,4","48,6","62,2","73,5","65,6","60","50","42,9","$132,4 ","989,0","9","1","5","9","7","0","1","5","2","0",NA,"0","10","2","14","29","30","7","5","5","9,2"
"71","Kuwait","97,7","63,4","62,7","74,2","77,2","55","50","4,0","$284,0 ","485,8","0","0","0","2","0","5","0","3","7","2","4","3","5","10","11","0","0","1","10",NA,"3,0"
"72","Kyrgyz Republic","93,7","65,3","80,4","68,4","75","60","50","5,7","$19,2 ","210,5","10","0","2","9","10","0","0","7",NA,"10","0",NA,"10","0","10","8","3",NA,"9","6","8,1"
"73","Latvia","84,8","78,6","59,5","84,8","88","85","60","2,0","$48,2 ","473,5","0","0","0","0","0","10","10","6","10","10","10","7","0","19","0","0","0","1","10",NA,"10,0"
"74","Lebanon","91,3","59,1","57,3","79,0","75,8","60","50","4,5","$81,1 ","3.070,1","10","4","2","7","10","0","6","5","2","5",NA,"0","10","10","3","6","0","7","6","6","6,4"
"75","Lesotho","59,1","53,3","62,1","76,9","85,8","50","40","1,9","$5,3 ","46,4","0","0","0","0","0","7","10","8",NA,"0","0","7","5","8","0","9","1","8","10",NA,"26,2"
"76","Liberia","83,8","55,1","44,5","71,0","72,8","45","20","4,2","$3,7 ","302,0","10","0","0","10","10","0","2","9",NA,"10","0",NA,"0","31","0","0","8",NA,"0","0","3,8"
"77","Libya","95","55,5","63,1","74",NA,"5",NA,"6,2","$97,6 ","50","6","0","117","1","0","5","5","6",NA,"2","0","1","8","0","10","9","3","8","0",NA,"19,2"
"78","Lithuania","92,9","80","60,0","84,6","88","80","80","2,9","$79,6 ","217,1","0","0","0","0","0","10","10","6","10","10","10","8","0",NA,"4","15","42","0","10",NA,"11,3"
"79","Luxembourg","61,1","73,7","42,6","83,2","88","95","80","0,6","$51,4 ","7.087,0","0","0","0","10","10","0","0","9","0","0","0","0","9","5","23","43","49","7","0",NA,"6,1"
"80","Macedonia","92,1","76,4","66,7","83,5","86,4","60","60","2,1","$27,6 ","348,0","10","0","0","10","7","0","6","0","3","0",NA,"0","10","5","19","26","10","10","0","7","27,9"
"81","Madagascar","91,1","52,9","48,5","74,5","77,2","50","50","23,6","$33,9 ","350,7","10","0","1","9","10","0","2","0","5","0",NA,"0","10","4","4","2","0","5","0","3","3,6"
"82","Malawi","79,0","44,5","63,4","53,6","72,4","55","50","17,6","$13,7 ","130,0","10","0","0","10","7","0","8","9",NA,"10","0",NA,"10","0","8","6","5",NA,"0","1","7,5"
"83","Malaysia","85,0","91,4","71,5","84,5","81,4","60","60","30,3","$746,1 ","10.799,2","10","0","2","9","10","0","6","5","9","5",NA,"0","7","2","18","33","28","2","9","2","2,0"
"84","Mali","70,3","46,3","50,8","83,0","70,2","65","40","15,8","$27,3 ","198,9","3","6","12","2","0","4","10","9","7","7","7","7","5","8","1","40","57","0","7",NA,"8,1"
"85","Malta","63,9","61,6","53,5","83,5","88","85","60","0,4","$14,1 ","9.278,9","0","0","0","10","0","9","10","8",NA,"10","10","7","4","35","6","0","0","2","0",NA,"5,9"
"86","Mauritania","81,6","48,7","50,7","77,7","69","50","40","3,6","$15,5 ","492,5","0","0","0","0","0","3","10","2","7","5","5","4","0","0","6","6","6","1","10",NA,"31,0"
"87","Mauritius","92,0","77,5","65,0","78,7","88,6","80","70","1,3","$23,4 ","418,4","0","0","0","0","0","8","5","7","7","10","9","8","0","6","6","15","26","2","10",NA,"7,7"
"88","Mexico","74,9","70,7","58,2","77,4","79,2","70","60","119,7","$2.140,6 ","22.794,7","10","0","0","10","10","0","0","5","6","5",NA,"0","10","9","15","14","35","7","0","7","4,9"
"89","Moldova","85,4","64,6","39,3","76,0","73,6","55","50","3,6","$17,7 ","207,4","10","0","0","10","10","0","7","0","0","0",NA,"0","7","3","18","25","18","5","0","1","3,4"
"90","Mongolia","84,4","67,7","77,9","68,0","70","45","60","2,9","$34,8 ","507,6","10","0","0","10","10","0","9","0","6","5",NA,"0","10","2","21","4","10","10","0","4","4,8"
"91","Montenegro","91,6","76,6","72,0","82,6","84,8","70","50","0,6","$9,4 ","497,0","0","0","0","0",NA,"10",NA,NA,NA,"5",NA,"0",NA,"6","3","4","4",NA,"10",NA,"19,1"
"92","Morocco","71,5","66,4","34,3","84,1","81,8","70","60","33,2","$252,4 ","3.582,3","10","0","0","10","10","0","4","5","4","0",NA,"0","7","8","9","7","0","2","0","4","10,2"
"93","Mozambique","74,3","55,9","41,9","79,5","70,8","35","50","26,5","$31,1 ","4.901,8","9","4","2","9","0","8","10","9","2","2","2","6","5","25","0","0","0","3","9",NA,"22,6"
"94","Namibia","64,4","68,2","84,5","75,1","83,4","60","40","2,2","$23,6 ","413,7","0","0","0","0","0","8","10","8","7","5","7","7","3","6","1","0","0","8","10",NA,"18,6"
"95","Nepal","85,1","64,9","47,3","70,8","55,6","5","30","28,1","$66,8 ","29,6","10","0","2","9","7","0","3","5","2","5",NA,"0","7","6","12","24","35","2","9","9","2,7"
"96","Netherlands","52,7","80","64,0","83,4","88","90","80","16,9","$798,6 ","30.253,3","10","0","1","10","10","0","9","0","9","0",NA,"0","10","3","35","17","52","10","0","9","6,9"
"97","New Zealand","71,0","91,4","85,9","88,1","87,2","80","80","4,5","$158,9 ","3.391,3","10","0","0","10","10","0","9","0","7","0",NA,"0","10","1","24","18","33","10","0","4","5,6"
"98","Nicaragua","78,0","61,2","55,7","69,0","86,2","65","50","6,2","$29,5 ","840,0","10","0","0","10","10","0","3","5","9","5",NA,"0","5","5","9","24","30","7","0","0","5,3"
"99","Niger","76,3","39,6","42,3","83,0","64,6","55","40","17,1","$17,9 ","769,0","3","7","6","7","0","5","10","6","5","5","5","4","5","7","1","35","46","3","8",NA,"5,1"
"100","Nigeria","85,1","48,7","72,9","71,5","64,8","40","40","173,9","$1.049,1 ","4.693,8","5","11","6","8","7","0","2","0","3","0",NA,"9","10","2","8","9","5","10","1","8","7,5"
"101","Norway","53,2","89,6","48,5","76,2","87,8","75","60","5,2","$345,2 ","8.682,5","10","0","0","10","10","0","9","5","4","0",NA,"0","10","0","34","21","39","7","0","9","3,4"
"102","Oman","98,5","70,1","72,5","77,9","85","70","60","4,1","$162,4 ","1.179,9","0","0","0","0","0","5","10","3","2","2","2","1","0","10","7","0","0","9","10",NA,"7,2"
"103","Pakistan","79,0","61,2","42,1","71,5","65","55","40","186,3","$882,3 ","1.747,0","8","5","8","8","5","0","2","5","0","0",NA,"0","7","4","12","27","30","2","1","0","5,2"
"104","Panama","84,4","74,4","42,9","78,6","77,8","75","70","3,9","$76,4 ","4.718,9","10","0","0","10","10","0","7","0","4","5",NA,"5","10","8","18","16","25","10","0","1","4,3"
"105","Paraguay","96,3","62,6","30,4","76,8","76,2","75","60","6,9","$58,3 ","236,3","0","9","0","3","0","8","5","7","10","7","7","4","0","16","9","0","0","6","9",NA,"4,5"
"106","Peru","78,5","67,8","62,9","83,7","87","70","60","31,4","$371,3 ","7.606,6","10","0","3","10","10","0","2","0","2","5",NA,"0","10","7","17","25","30","10","9","2","4,2"
"107","Philippines","79,0","63","57,1","77,7","76,4","60","60","99,4","$692,2 ","6.200,5","8","4","0","8","10","0","8","0","5","0",NA,"0","10","8","13","13","32","10","7","5","7,1"
"108","Poland","75,5","68,7","58,0","85,2","88","75","70","38,0","$954,5 ","13.882,8","10","0","0","10","10","0","7","0","3","5",NA,"0","10","6","23","18","32","5","0","6","9,2"
"109","Portugal","60,5","85,3","43,5","85,7","88","70","60","10,4","$280,4 ","8.807,1","10","0","0","10","10","0","9","0","4","0",NA,"0","10","9","21","9","55","10","0","2","14,2"
"110","Qatar","99,7","71,4","70,7","74,1","81,8","45","60","2,2","$320,5 ","1.040,4","0","0","0","0","0","5","5","3","2","10","2","3","5","0","1","10","10","6","10",NA,"0,3"
"111","Romania","87,5","66,1","65,1","81,1","88","75","50","19,9","$392,8 ","3.234,0","10","0","0","10","10","0","8","0","9","0",NA,"0","10","4","18","20","16","10","0","8","7,0"
"112","Russia","82,2","72,2","57,6","62,9","72,4","25","30","143,7","$3.564,5 ","20.957,7","9","0","4","9","10","0","5","0","6","0",NA,"9","7","0","26","9","13","5","9","3","5,1"
"113","Rwanda","80,1","60,5","82,0","79,4","67,6","65","40","11,1","$18,8 ","267,7","8","0","0","0","0","8","5","6","2","2","2","2","5","9","2","30","37","7","10",NA,"0,6"
"114","Saudi Arabia","99,7","69,9","68,5","69,2","77,8","40","50","30,8","$1.605,7 ","8.012,0","0","8","6","1","0","5","0","2","2","5","2","0","0","0",NA,"20","5","1","8",NA,"5,6"
"115","Senegal","71,6","49,1","42,4","84,9","73,8","60","40","14,5","$33,6 ","342,7","10","0","0","10","10","0","8","0","0","0",NA,"0","7","6","6","0","0","10","0","1","10,0"
"116","Serbia","84,3","60,2","66,2","77,5","77,8","70","50","7,2","$95,5 ","1.996,1","10","0","0","10","10","0","4","0","3","5",NA,"0","10","7","18","18","15","10","0","7","22,2"
"117","Seychelles","79,3","66","62,1","79,7","83,4","55","30","0,1","$2,4 ","228,7","0","0","0","10","7","0",NA,NA,NA,"0",NA,"10","69","4","5","1","6",NA,"0",NA,NA
"118","Sierra Leone","81,2","49,9","43,2","70,8","69,4","55","20","6,2","$12,6 ","439,9","10","0","1","10","10","0","1","8",NA,"10","0",NA,"0","44","0","5","2",NA,"0","8","3,3"
"119","Singapore","91,2","95","90,7","81,8","90","85","80","5,5","$452,7 ","67.523,0","10","0","0","10","10","0","4","0","1","5",NA,"4","7","7","23","19","20","5","0","9","3,0"
"120","Slovenia","58,6","82","55,4","84,3","88","70","50","2,1","$61,1 ","1.564,3","10","0","0","10","10","0","8","0","0","0",NA,"0","10","9","26","18","50","10","0","7","9,5"
"121","South Africa","70,1","69,7","58,7","74,6","77","45","60","54,0","$704,5 ","5.712,3","10","0","4","10","7","0","0","0","4","0",NA,"0","10","9","25","18","41","10","9","9","25,1"
"122","Spain","58,3","76","51,7","84,7","88","85","70","46,5","$1.566,4 ","22.904,1","10","0","0","10","10","0","6","0","0","0",NA,"0","10","5","24","9","45","10","0","1","24,7"
"123","Sri Lanka","85,1","70,3","56,5","71,5","72,4","35","40","21,0","$217,4 ","944,2","10","0","0","10","10","0","4","5","9","0",NA,"0","7","8","11","23","24","7","0","2","4,6"
"124","Sudan","86,4","48,8","43,5","46,7","50,6","10",NA,"37,3","$159,1 ","1.277,4","2","9","5","4","0","3","5","3","2","7","3","1","5","0","10","7","8","2","8",NA,"14,8"
"125","Suriname","69,4","48,8","76,3","78,7","68,4","30","30","0,6","$9,2 ","4,2","10","0","10","0","0","5","10","9",NA,"10","0","5","0","1","40","5","5","3","0","6","5,6"
"126","Swaziland","70,9","58,6","65,8","74,5","88,8","50","40","1,1","$8,6 ","12,7","0","0","0","0","0","7","5","6",NA,"0","0","6","5","7","0","5","8","6","10",NA,"22,3"
"127","Sweden","44,4","89,7","53,5","87,1","88","85","80","9,7","$448,2 ","10.036,2","10","0","0","10","10","0","9","0","9","0",NA,"0","10","2","37","18","57","10","0","5","8,0"
"128","Switzerland","70,9","82,2","72,1","87,8","90","85","80","8,1","$472,8 ","21.914,3","0","0","0","0","0","9","10","6","10","10","10","8","0","13","3","0","35-49","7","10",NA,"4,5"
"129","Syria",NA,"62,4","46,9","42,7","56,6","0","20","18,1","$73,00 ",NA,"8","0","159","3","0","5","0","4",NA,"0","2","1","0","0","5","3","5","3","0",NA,NA
"130","Tajikistan","91,6","61,1","47,3","69,8","68,6","25","30","8,3","$22,3 ","262,7","0","0","0","0","0","8","10","4","2","2","2","0","5","0","3","13","31","4","10",NA,"10,9"
"131","Tanzania","79,2","47,5","62,6","67,7","73,2","60","50","47,7","$127,1 ","2.141,6","10","0","1","10","7","0","3","0","4","0",NA,"0","10","9","18","22","30","5","0","7","3,1"
"132","Thailand","81,1","76,3","62,5","70,9","77,6","50","60","68,7","$985,5 ","12.565,7","9","0","0","10","10","0","7","0","3","5",NA,"9","10","3","25","26","35","10","0","5","0,9"
"133","Timor-Leste","64,7","68","66,0","70,9","80","40","20","1,2","$6,1 ","33,9","0","0","303","5","0","7","10","0",NA,"0","0","8","10","0","10","3","3","8","0",NA,"4,7"
"134","Togo","68,7","51,4","46,2","79,5","71,2","50","30","7,0","$10,1 ","292,1","0","0","0","0","0","8","10","7","5","10","8","4","0","6","6","35","7","6","10",NA,"6,9"
"135","Trinidad and Tobago","79,4","69,5","72,8","68,5","78,6","60","50","1,4","$43,4 ","2.423,0","10","0","0","10","10","0","9","8",NA,"10","0",NA,"0","40","0","0","8",NA,"0","4","4,0"
"136","Tunisia","74,0","81,3","64,0","75,6","62,2","35","30","11,0","$124,3 ","1.060,3","7","6","2","9","7","0","6","5","5","5",NA,"1","7","7","9","1","0","7","9","1","13,3"
"137","Turkey","75,2","65,4","48,6","71,5","84,4","75","60","76,9","$1.508,1 ","12.146,0","0","12","6","3","10","0","5","5","5","5",NA,"0","7","8","19","21","35","2","8","6","9,2"
"138","Uganda","73,2","40,3","83,7","80,1","72,8","60","40","38,0","$76,9 ","1.146,6","8","1","8","9","7","0","0","0","4","0",NA,"0","10","4","8","13","40","10","4","2","3,8"
"139","Ukraine","78,6","56,8","47,9","66,9","85,8","20","30","42,8","$370,8 ","410,0","8","1","1","9","7","0","4","5","9","5",NA,"0","7","3","23","9","20","2","6","8","7,7"
